LTER,Site,Species,MSE,b,coef_int,coef_slope,Pr_int,Pr_slope,logLik,length,Y1,Y2,Feeding,Habitat,Pollinator
KonzaPrairie,grasshopper,Phoetaliotes nebrascensis,0.849518891971884,0.0404354878522872,0.698524364442339,-1.39121614281676,0.049887172919793,0.0231822764047272,16.2922827842931,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus scudderi,0.673304509406412,0.535484173510087,0.794239750734702,-1.5667043516822,0.177853282930558,0.113867861180492,20.6901438711943,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,0.923802892082217,0.420411493002628,0.088640670686192,-0.202061322833112,0.874802438017224,0.830937455418735,15.9440330107726,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1.00548217879252,0.271129877694685,-0.0531652753669148,0.130921952739623,0.911766623804575,0.871826835962524,14.4031307523335,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,0.973866928196126,0.149960207998993,0.408238817829169,-0.833087142315841,0.325045321181915,0.238168611167058,14.5944981066565,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,0.997615228705866,0.174586777541181,-0.2972603471498,0.58239733827422,0.488611279626127,0.424151425525111,14.3074149079546,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,0.928239423083349,0.237406878327993,0.475723087362453,-0.969458817005573,0.287489011913296,0.202376184767828,15.4486003734786,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,0.66683484966106,0.301530767189575,0.927303074941467,-1.84786999510874,0.0287395641452994,0.0111011008369849,20.2208139827694,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hesperotettix speciosus,0.582177948532062,0.313825876214758,-1.01029014632865,2.04644043427145,0.0131909198989341,0.00363432075908906,22.1496384973601,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Boopedon auriventris,0.860866836375204,0.197357792464244,0.648706661762994,-1.27345819532812,0.119152884300006,0.0730463106244083,16.4185906595013,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Pseudopoma brachypte,0.378824340263173,0.669162651679672,1.25087854781585,-2.47273316752143,0.0359511799567137,0.0132135791589899,29.1878136675233,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus femurrubrum,0.950349622313002,0.399129101414179,-0.0600267348964327,0.0360930047064525,0.91355432796964,0.969070665296369,15.4934125089,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Campylacantha olivacea,0.499846608756764,0.503654513170955,-1.00140073405999,1.85986825311006,0.041336177670758,0.0247863201942196,24.7678338157549,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Schistocerca lineata,0.977626079255388,0.312467742901633,-0.132320102479613,0.261806988900902,0.790689669792102,0.755917782588526,14.8896037059347,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hesperotettix viridis,0.617781518499318,0.609676033058847,-0.506912746789166,1.0919437877009,0.431660824256959,0.309151018594307,22.1297771638751,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hesperotettix spp.,0.55670107293277,0.417047151797032,0.980504190157869,-1.95183144372338,0.0306138627633264,0.0117773878881139,23.0259961944653,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Syrbula admirabilis,0.528092339676029,0.130957503965334,-1.14412776541109,2.25634234999674,0.000564313677048583,0.000102553130283084,23.1243349660571,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Arphia xanthoptera,0.610386083911452,0.304101453747568,-0.970649841857733,1.90991419376444,0.0179422136245342,0.00669771829694922,21.4649727081952,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus packardii,0.816184296530987,0.546265893706816,-0.3340784708603,0.53719853553248,0.608679505718609,0.621809813138589,18.028389830633,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Eritettix simplex,0.878844492353708,0.129007900693873,0.619601963521696,-1.24419468607653,0.112986732866358,0.0629654533624142,15.9897243740891,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Arphia simplex,0.882446788820468,-0.202226279406709,-0.480800318048234,0.941940604867979,0.0992832551720819,0.0600517078942718,15.3159336384927,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Paratylotr brunneri,0.920985118505786,0.372613879182773,0.271476666740944,-0.592877295850879,0.605380942131386,0.503878937897474,15.8673128277504,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Chrotophag viridifas,0.915342480746144,0.436659936096475,-0.133737794853704,0.205702386472451,0.815792476464065,0.831159080907337,16.1149562844044,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus sanguinipes,0.785018554636303,0.194663045687627,-0.80190098492364,1.56115607295687,0.0460859539507924,0.0233835487578199,17.7042218305664,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus spp.,0.857283322692064,0.480577408036469,-0.420440374302709,0.776999631316204,0.482003759507661,0.438808316424802,17.150485483172,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Pardalophora spp.,0.736297849383974,0.640102603204764,0.0593960380244351,-0.164513330118712,0.936632762731585,0.894046328541784,19.7778636165745,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Brachystola magna,0.994407693576425,-0.147550436826721,0.0312090920501947,-0.054264524247582,0.921190502652249,0.919563417370479,13.7415139113668,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Arphia spp.,0.810642018544908,0.557792467249707,-0.456173380475266,0.697813886486037,0.493152609670554,0.529305120079058,18.1590517329999,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus differentialis,1.01698750294941,0.212833445600008,-0.129353347291075,0.236171468806147,0.774105358141116,0.757049062618517,14.1178552571704,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Pardalophora haldemani,0.552751767972596,0.540203252788957,-0.870933919071902,1.65863273616719,0.108374827069171,0.0689571260172967,23.4663202869057,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria picta,0.351579506587779,0.615887329708783,-1.2575703320581,2.47212636734044,0.0150644627871215,0.0047139159253825,30.0425535919911,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Opeia obscura,0.754911404980022,0.596484233735924,-0.344701247226913,0.564247287083465,0.618021616051391,0.623227384154631,19.2794191336524,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Ageneotettix deorum,0.624334303638731,0.189194080865453,-1.00776635126331,1.96709092510215,0.00621011464155249,0.00199705619276655,20.8991414252148,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria spp.,0.569678303231463,0.260342576294775,-1.04075358074335,2.03270839986723,0.00641130397761378,0.00203287058478476,22.333478572103,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Boopedon gracile,0.571925519596458,0.381749782181314,-1.08701551713414,2.23508719505807,0.0139963680655069,0.00341166899181815,22.559763414854,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hadrotettix trifasciatus,0.643982529592841,0.673868441815077,-0.435515733352892,0.729246763299765,0.56532072778255,0.558427508324982,21.777181035071,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Pardalopho apiculata,0.77838255650243,0.535042444922446,-0.400972578634927,0.738540957440984,0.521314233192894,0.479873824998829,18.6585398165406,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hipposicus rugosus,0.877593339150188,0.370238714580539,-0.451244921979778,0.8603830662898,0.379584323765787,0.321193633616696,16.5371829009004,30,1982,2015,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Arphia conspersa,0.963948450656684,0.227346367443222,-0.368389953080566,0.716077554349896,0.411515864921848,0.346688611643413,14.898554788402,30,1982,2015,herbivore,terrestrial,n
